usage,evdev,xkb,win,mac,name,id
0x0c0221,0x00d9,0x00e1,0xe065,0xffff,"""BrowserSearch""",BROWSER_SEARCH
0x0c0223,0x00ac,0x00b4,0xe032,0xffff,"""BrowserHome""",BROWSER_HOME
0x0c0224,0x009e,0x00a6,0xe06a,0xffff,"""BrowserBack""",BROWSER_BACK
0x0c0225,0x009f,0x00a7,0xe069,0xffff,"""BrowserForward""",BROWSER_FORWARD
0x0c0226,0x0080,0x0088,0xe068,0xffff,"""BrowserStop""",BROWSER_STOP
0x0c0227,0x00ad,0x00b5,0xe067,0xffff,"""BrowserRefresh""",BROWSER_REFRESH
0x0c022a,0x009c,0x00a4,0xe066,0xffff,"""BrowserFavorites""",BROWSER_FAVORITES
0x0c022d,0x01a2,0x01aa,0x0000,0xffff,NULL,ZOOM_IN
0x0c022e,0x01a3,0x01ab,0x0000,0xffff,NULL,ZOOM_OUT
0x0c0230,0x0000,0x0000,0x0000,0xffff,NULL,ZOOM_FULL
0x0c0231,0x0000,0x0000,0x0000,0xffff,NULL,ZOOM_NORMAL
0x0c0232,0x0174,0x017c,0x0000,0xffff,"""ZoomToggle""",ZOOM_TOGGLE
0x0c0279,0x00b6,0x00be,0x0000,0xffff,NULL,REDO
0x0c0289,0x00e8,0x00f0,0x0000,0xffff,"""MailReply""",MAIL_REPLY
0x0c028b,0x00e9,0x00f1,0x0000,0xffff,"""MailForward""",MAIL_FORWARD
0x0c028c,0x00e7,0x00ef,0x0000,0xffff,"""MailSend""",MAIL_SEND
0x0c029d,0x0248,0x0250,0x0000,0xffff,"""KeyboardLayoutSelect""",KEYBOARD_LAYOUT_SELECT
0x0c029f,0x0078,0x0080,0x0000,0xffff,"""ShowAllWindows""",SHOW_ALL_WINDOWS
